"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@andyyulius1309","false","UgzdTnloEtC0KoxUltV4AaABAg","Kata nya harga starlink hanya 1,999000 jt sj terus byr per bulan nya 700 rb.......yg benar yg mana harga nya ini....","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","16 hours ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@basufafaofficial6940","false","Ugxk0lEb3KtCKpoDWAx4AaABAg","Ada bahayanya juga sih..Elon mars mau ledakkan dunia tinggal tekan doang😁kok sy smpai disitu ya🤣","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@asrolbaisuki764","false","UgyHaRrOWfbXZ58TkCh4AaABAg","Bisa dipakai sampe brpa device bang","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@salareaofficial3185","false","Ugz8iuygbE6rBAFAWbN4AaABAg","ngeri","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@ajikasep22","false","UgxdO5TmcRXTNu0AMnp4AaABAg","Bang kenapa manusia saling menyakiti?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","3 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@abdulrachman4276","false","UgyOUWHe0OiPaPAyOOt4AaABAg","Jaraknya smpai brpa meter ya? Trus maksimal bisa smpai brpa user pengguna bang?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","5 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@pebyannorputrakalteng6102","false","UgxZ4C4gLlh8WreqlEV4AaABAg","Untuk di kampung mantap","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","5 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@bcgaming3685","false","UgwHEyvR60dID9LTRvt4AaABAg","Klw kerja di kapal trus kapal nya posisi jalan itu bermasalah atw terganggu ga sih jaringan nya?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","6 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@sutrisnoino9596","false","Ugz0A_sMiuCnDU9J4zB4AaABAg","Untuk main mobile legends ping merah terus ga cocok","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","6 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@fahribujang7845","false","UgzTEgcG_BTu4G3SMw14AaABAg","Mohon bantuannya bang, saya buka usaha wifi pake starlink, kadang ada pelanggan usil bayarnya 1 orang tapi dia hospotin rame² sama temannya yang saya tidak tau cara cek nya bagaimana, dan cara mencegah agar dia tidak hotspot sama teman² nya, mohon bantuannya bang terima kasih.","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","7 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@ralinenadirasyahputri","false","Ugx4--THRQcjwLleNgZ4AaABAg","Bisa dipakai untuk brp hp om?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","9 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@haluchanel3186","false","UgxLRfZETUzdri69P1Z4AaABAg","Jarak nya berapa meter ya","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","9 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@jajangrumunsyah","false","UgzFZAvdwXwExjgjiMt4AaABAg","liat komenan, ternyata masih banyak yg kurang literasi nya yah wkwk","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","9 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@F2th6n","false","UgxMFHzgB_RSBITXmcV4AaABAg","Kalau buat cafe/warkop (sharing) bisa gak guys?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","10 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@sugigaming1513","false","UgzuCzI1qpF51duafvh4AaABAg",".","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","12 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@pakhaji8185","false","UgxF_Mrus04L1izIJlB4AaABAg","Ini saya juga baru pasang,emng sih harganya juga menyala,tp saya akui kenceng bangt","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","12 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@SAHALAARFANSARAGI","false","UgzRTsz5se4LY6y6c5J4AaABAg","kominfo pernah berkata kami tdk bisa bendung teknologi ini","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","1"
"@SYLMenTan","false","UgwwW-kS5TOZZTqmpnV4AaABAg","power bank anker nya beli dimana bang? di toped dan sopi gak ada tuh","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@ot6secretnumber154","false","UgwjkDWIBsuTFweO42V4AaABAg","Di hutan ok... Kita siap😂","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@ot6secretnumber154","false","UgyWm5PE9pzNh2vJU6t4AaABAg","Wkwkwk... Kekurangan n kelebihan keliatan...","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@ggelit597","false","UgyOHNWhLwSVxHx5Gwx4AaABAg","Udah ada yg pernah make di dlm hutan yg memang tidak ada sinyal hp apakah masih bisa","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@rudy_allvlog","false","UgwGGm8u2ERgNAXQrvJ4AaABAg","Kirain modalnya alatnya aja, harus bayar lagi ya?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@AndhyJoy","false","UgynSlc9BIZl74Neq0N4AaABAg","Apakah bisa power nya pake aki","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@syamsulmuarif1144","false","UgyWMHLMtjAvukroH354AaABAg","Bang, itu bener kah yg dirumah 100 Mbps harga 1 jt?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@mazwijie","false","UgxV1Xm6mKgnrbkWaJR4AaABAg","kalo lagi hujan lebat, rawan kena petir gak bang kalo di letakin di atap rumah ?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
