"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@asrirafifahmad7903","false","Ugwtf7ujp4AiER8rOIx4AaABAg","Starbucks keliling","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","4 months ago","183",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","7300"
"@adiadisecond8971","false","UgzY1QeFeXpzw0K8tWd4AaABAg","Starlink ini adalah investasi yang sangat bagus di Indonesia bagi Elon Musk. Beda waktu Indonesia approach dia untuk sumber daya nikel, Elon ga tertarik untuk berinvestasi pada saat itu. Dia bisa liat peluang karena Indonesia negara kepulauan dan masih banyak daerah2 yg blm terkoneksi dengan internet, ditambah lagi degan adanya kasus korupsi BTS yang ditargetkan untuk daerah2 tertinggal. Ini kesempatan besar bagi Elon untuk memperkenalkan produknya di Indonesia dengan keunggulan yg dimiliki Starlink. Pelajarannya, dlm berbisnis perlu mengetahui dan memahami situasi politik yg terjadi di suatu daerah, and jadikan itu sebagai peluang bukan hanya sebagai literasi. Good job Elon!!","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","4 months ago","55",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","1200"
"@fajarcahyono3693","false","Ugw_HXk0ty_BPIgAE9N4AaABAg","Malu gak sih yang katanya Elite Global dengan segala konotasi negatifnya yang malah bisa bermanfaat buat rakyat2 di pedalaman, eh yang katanya si paling plat merah bekerja deni rakyat bikin layanan internet aja ampas bener kualitasnya, jauh banget dibanding starlink apalagi di pedalaman","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","4 months ago","100",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","929"
"@Aoururu","false","UgwvyCHd-xKFs_3-hJ14AaABAg","Muncak bawa starlink buka jasa wifi di sana","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","4 months ago","66",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","259"
"@ajikasep22","false","UgxdO5TmcRXTNu0AMnp4AaABAg","Bang kenapa manusia saling menyakiti?","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 days ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@jolioahmad3109","false","UgyNjbb5mgQDRSZbWEh4AaABAg","r i p telkomsel 😂😂😂😂","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","1 month ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","3"
"@ahmatyuaidin","false","UgzDhBCKxOCie-jqXgx4AaABAg","750 rb mahal karena gak bisa dujual lagi hanya dipakai satu/dua rumah doang, kalau keluarga menengah ke atas mungkin mampu 750rb/bulan, kalau keluarga menengah ke bawah keberatan gak mampu.","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","3 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","3"
"@G.Gurkha","false","Ugwdox7Wixj6uWmU5nZ4AaABAg","Mungkin Yg protes sama starlink adalah orang2 bayaran oleh perusahaan2 yang merasa terancam  karna selama ini jual kuota super mahal tapi sinyal jelek 😂","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","2 weeks ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@andyyulius1309","false","UgzdTnloEtC0KoxUltV4AaABAg","Kata nya harga starlink hanya 1,999000 jt sj terus byr per bulan nya 700 rb.......yg benar yg mana harga nya ini....","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","15 hours ago","0",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","0"
"@driman5281","false","UgzbSyQgdl6jaK1LiRN4AaABAg","tamparan kencang untuk telkom, telkomsel dsb, semoga starlink menjadi faedah untuk kemajuan bangsa...yuk bisa yuk","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","4 months ago","32",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","539"
"@NanangMrk","false","Ugxn84XC5KbH5Y61KmZ4AaABAg","Prestasi tertinggi politisi : dipanggil close the door ✅
Prestasi tertinggi youtuber tech : disebut Gadgetin ✅

Thanks Tim Gadgetin 🙏","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","4 months ago","521",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","15000"
"@a.fikrinailularzaq4105","false","UgwOUagSpFqEhLQZ_NV4AaABAg","Ini bagus si buat Telkomsel biar nggak leha leha, internet mahal kualitas rendah 
Kalo merasa ada kompetitor, semoga Telkomsel bisa banyak berbenah","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","4 months ago","269",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","5200"
"@Anonymous-u6s5d","false","UgwaVVMFNbeXFeZ--8h4AaABAg","Kmrn di kpal sya kerja jg bru ganti starlink, emng krasa bgt beda nya sm internet satelit utk kpal yg lain, skrg sya di laut atlantik dan internet nya starlink msih lancar bgt, bisa diatas 180 mbps, tp emng device nya khusus utk di kapal, mantap starlink","12306","false","https://www.youtube.com/watch?v=BHkTABfl9fc","4 months ago","1",,"REVIEW STARLINK INDONESIA - INI REVOLUSIONER 🔥","comment","BHkTABfl9fc","24"
