"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@NanangMrk","true","Ugwz3FqDFIgevEnVUaN4AaABAg","#INDONESIA DARURAT MEMBACA!!!!! 

STARLINK INI ADALAH LAYANAN INTERNET SATELIT BROADBAND sebagaimana layanan Broadband pada umumnya yang dirancang  untuk penggunaan pribadi JIKA ANDA GUNAKAN SEBAGAI ISP RT RW NET / Voucheran  dan terdeteksi terdapat trafik yang berlebian STARLINK akan sangat mudah memblokir Akun Anda (alat ini lebih canggih daripada yang saya duga ) . dan terminal STARLINK tanpa Akun hanyalah sebuah sampah para bola yang tidak berguna , MAKA JANGAN MENCOBA MEMPERKAYA DIRI SENDIRI DAN MENGAMBIL KEUNTUNGAN DENGAN CARA-CARA yang tidak semestinya :)
STARLINK INI DIRANCANG UNTUK DAERAH DENGAN INFRASTRUKTUR INTERNET RENDAH AGAR BISA MENIKMATI INTERNET LAYAK DENGAN HARGA TERJANGKAU , MARI MENJADI MANUSIA YANG BIJAK DAN BEAKHLAK
I LOVE YOU SEMUA , SALAM NanangMrk 😘","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago (edited)","419",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","1200"
"@irunchannel4470","false","UgzBVrEwAdbhkIEUbNV4AaABAg","Berpa hrga Starlink yg bisa di pake buat bisnis voucheran bang🙏","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","9 hours ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@NengsihKilla","false","UgyxoIms8o0z-pTf8Ap4AaABAg","Kira kira berapa unit HP yang bisa konek ke dihubungkan kerouter","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","4 days ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@AbuDardaTrans","false","UgyROC0ERlOYUFAGsyB4AaABAg","Jarak maksimal berapa jauh mas signalnya","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","4 days ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@YahyaArsyady","false","UgwCo-M_CmWHcZm0xxR4AaABAg","Hrga brpa 1 unitnya starlink yg lg d demo tu ?","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","9 days ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@Ahmadkholil-b2j","false","Ugwur0apSUkopFCN6tZ4AaABAg","indonesia unlimited berbatas kuota... maling legal dgn aturan.... :face-blue-smiling::face-blue-smiling:tapi di luar negeri kalau unlimited sebulan ya sepuas nya...","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","11 days ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@KOMEDI_TIKTOK","false","Ugx3reJtxbc988W57PN4AaABAg","Bang apa bisa cod ke papua","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","2 weeks ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@dt.syafrani4895","false","UgyxRzSQ6TftvpUueRR4AaABAg","Bang.. Minta nope nya bang.. Saya dari kalimantan utara","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","2 weeks ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@azzamaulana2669","false","UgyIlkS6nPoHdrJbicB4AaABAg","Ni barang nya yg d jual online apa ka ori semua, maksud  tda ada d jual yg palsu?","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","2 weeks ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
"@Yusri-m8o","false","UgwXeKD5q796GeW9wSV4AaABAg","Bang maw tnya apakah starling saat daftar blh si pendaftar berada di profinsi yg berbeda dengan starlingnya?","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","3 weeks ago","0",,"STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","comment","U-ZyepruMh0","0"
